"No_";"Posting Date";"Currency Code";"Currency Factor";"Payment Discount _";"Sell-to Customer No_"
"FVV141010";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1382"
"FVV141011";"13-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43008200"
"FVV141012";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099030"
"FVV141013";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43060160"
"FVV141014";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1494"
"FVV141015";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099160"
"FVV141016";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1017"
"FVV141017";"16-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1131"
"FVV141018";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1494"
"FVV141019";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV141020";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV141021";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV141022";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV141023";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV141024";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1375"
"FVV141025";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1562"
"FVV141026";"17-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1540"
"FVV141027";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI108"
"FVV141028";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1494"
"FVV141029";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1563"
"FVV141030";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI115"
"FVV141031";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1537"
"FVV141032";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43090130"
"FVV141033";"18-06-2014";;"0,00000000000000000000";"3,00000000000000000000";"CLI43088015"
"FVV141034";"18-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1338"
"FVV141035";"19-06-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1568"
