Año,Mes,Importe Neto ,Familia
2020,enero,42012.46243352067,Familia P2
2020,enero,36539.49361974738,Familia P3
2020,enero,109591.60100310264,Familia P4
2020,enero,64382.410385397394,Familia P5
2020,enero,69973.37817201165,Familia P6
2020,enero,1506.4406455989324,Familia P7
2020,enero,1863.2930992805755,Familia P8
2020,enero,31357.42652436098,Familia P9
2020,enero,10757.530081346142,Familia SE
2020,febrero,2936055.1000895025,Familia EL
2020,febrero,120247.77789580633,Familia MP
2020,febrero,21194.645559082255,Familia P1
2020,febrero,28831.289044307876,Familia P2
2020,febrero,33087.775313982085,Familia P3
2020,febrero,84837.25168219936,Familia P4
2020,febrero,112801.87526312997,Familia P5
2020,febrero,49128.02898776147,Familia P6
2020,febrero,2225.9693443442766,Familia P7
2020,febrero,374.41835845008364,Familia P8
2020,febrero,5118.2421839704,Familia P9
2020,febrero,24155.63656651561,Familia SE
2020,marzo,3312008.328652874,Familia EL
2020,marzo,95827.60120427515,Familia MP
2020,marzo,10205.087628304349,Familia P1
2020,marzo,15975.66239241447,Familia P2
2020,marzo,16389.85845666029,Familia P3
2020,marzo,107220.41918078602,Familia P4
2020,marzo,106131.5902489892,Familia P5
2020,marzo,86560.06169592995,Familia P6
2020,marzo,2507.1301813068844,Familia P7
2020,marzo,455.7997364986117,Familia P8
2020,marzo,10349.931104665897,Familia P9
2020,marzo,52.38,Familia PM
2020,marzo,2215.03562658735,Familia SE
2020,abril,2053773.8880415205,Familia EL
2020,abril,52213.67456139412,Familia MP
2020,abril,14479.799947479854,Familia P1
2020,abril,22261.237593935133,Familia P2
2020,abril,49532.58214613291,Familia P3
2020,abril,37377.13823193393,Familia P4
2020,abril,24124.227209434313,Familia P5
2020,abril,19004.442085980903,Familia P6
2020,abril,1539.1269887298577,Familia P7
2020,abril,1192.7445707697755,Familia P8
2020,abril,3514.756620783834,Familia P9
2020,abril,53459.24640767983,Familia PM
2020,abril,194.68476554716875,Familia PP
2020,abril,22529.261412818996,Familia SE
2020,mayo,1864483.9071531948,Familia EL
2020,mayo,35279.729227448726,Familia MP
2020,mayo,18920.68062385499,Familia P1
2020,mayo,19673.1194319292,Familia P2
2020,mayo,27660.36780551375,Familia P3
2020,mayo,39543.252996234645,Familia P4
2020,mayo,78213.1549469057,Familia P5
2020,mayo,22672.26858765506,Familia P6
2020,mayo,2050.149504264485,Familia P7
2020,mayo,1048.0449218812087,Familia P8
2020,mayo,5571.175969079959,Familia P9
2020,mayo,1118.0448334123466,Familia SE
2020,junio,3480831.143435362,Familia EL
2020,junio,71617.3585025534,Familia MP
2020,junio,6791.033827448966,Familia P1
2020,junio,10172.345085613833,Familia P2
2020,junio,9407.784679969758,Familia P3
2020,junio,68584.8542245564,Familia P4
2020,junio,39641.80821932969,Familia P5
2020,junio,43235.78045085949,Familia P6
2020,junio,2228.9232444407467,Familia P7
2020,junio,242.35877116058043,Familia P8
2020,junio,3004.3171500479325,Familia P9
2020,junio,7939.974878199572,Familia SE
2020,julio,3282355.1589162652,Familia EL
2020,julio,157525.28710413765,Familia MP
2020,julio,8734.314382780536,Familia P1
2020,julio,21795.504275060914,Familia P2
2020,julio,9512.969870933706,Familia P3
2020,julio,106829.77825514147,Familia P4
2020,julio,103878.11653138816,Familia P5
2020,julio,38822.844758956795,Familia P6
2020,julio,3046.2997054526813,Familia P7
2020,julio,458.27286985140466,Familia P8
2020,julio,4791.438653803701,Familia P9
2020,julio,5391.385623093438,Familia SE
2020,agosto,3486633.2343391385,Familia EL
2020,agosto,80981.56766835594,Familia MP
2020,agosto,7121.348420778826,Familia P1
2020,agosto,17475.72394998742,Familia P2
2020,agosto,11516.020865986702,Familia P3
2020,agosto,76489.31154579777,Familia P4
2020,agosto,32164.328213841058,Familia P5
2020,agosto,23612.214783360316,Familia P6
2020,agosto,2423.914655396479,Familia P7
2020,agosto,24.73809068536952,Familia P8
2020,agosto,2685.123989196323,Familia P9
2020,agosto,64.17273366494483,Familia PE
2020,agosto,11678.169141823872,Familia SE
2020,septiembre,3256495.5869616778,Familia EL
2020,septiembre,164529.45741032384,Familia MP
2020,septiembre,26070.95104553314,Familia P1
2020,septiembre,40041.16190797441,Familia P2
2020,septiembre,50133.43366252188,Familia P3
2020,septiembre,99326.22215432559,Familia P4
2020,septiembre,66347.1257278569,Familia P5
2020,septiembre,46680.23971292877,Familia P6
2020,septiembre,3874.153471230445,Familia P7
2020,septiembre,618.6846517902571,Familia P8
2020,septiembre,26193.2697840078,Familia P9
2020,septiembre,33133.177595647234,Familia PM
2020,septiembre,784.7882545991525,Familia PP
2020,septiembre,12308.709760840866,Familia SE
2020,octubre,3128152.3565657283,Familia EL
2020,octubre,207653.64719139828,Familia MP
2020,octubre,9665.130922970347,Familia P1
2020,octubre,21175.770998759675,Familia P2
2020,octubre,16324.731405636874,Familia P3
2020,octubre,173784.17802569063,Familia P4
2020,octubre,67351.61063108471,Familia P5
2020,octubre,43056.24918190863,Familia P6
2020,octubre,2065.454955589379,Familia P7
2020,octubre,158.31183553003007,Familia P8
2020,octubre,7996.9838452298145,Familia P9
2020,octubre,15813.886641880512,Familia SE
2020,noviembre,3108137.1266958597,Familia EL
2020,noviembre,172280.68470845735,Familia MP
2020,noviembre,33890.42665783629,Familia P1
2020,noviembre,56260.580777678086,Familia P2
2020,noviembre,48964.921970954085,Familia P3
2020,noviembre,96630.20027731637,Familia P4
2020,noviembre,56242.65345426526,Familia P5
2020,noviembre,43806.008337168976,Familia P6
2020,noviembre,2129.7754918319533,Familia P7
2020,noviembre,4382.160857686212,Familia P8
2020,noviembre,29722.643386320615,Familia P9
2020,noviembre,4625.16871526472,Familia SE
2020,diciembre,1186399.0552403384,Familia EL
2020,diciembre,153935.08125101327,Familia MP
2020,diciembre,51379.930008779396,Familia P1
2020,diciembre,56508.76416945322,Familia P2
2020,diciembre,49860.92860245191,Familia P3
2020,diciembre,68755.30347570192,Familia P4
2020,diciembre,17953.635927029136,Familia P5
2020,diciembre,22444.57396614101,Familia P6
2020,diciembre,590.8009797844462,Familia P7
2020,diciembre,1174.449834978973,Familia P8
2020,diciembre,9413.340819972602,Familia P9
2020,diciembre,573.6021456707175,Familia PM
2020,diciembre,632.9163330198818,Familia SE
2021,enero,2670339.1096895947,Familia EL
2021,enero,251104.83913636932,Familia MP
2021,enero,18248.354866115777,Familia P1
2021,enero,23198.599018984893,Familia P2
2021,enero,21236.35676741465,Familia P3
2021,enero,89391.19809298463,Familia P4
2021,enero,64681.6227289822,Familia P5
2021,enero,69983.79389319025,Familia P6
2021,enero,3874.378827108549,Familia P7
2021,enero,327.8086774300529,Familia P8
2021,enero,9183.656770575713,Familia P9
2021,enero,34.61540238994826,Familia PE
2021,enero,10004.996541706018,Familia SE
2021,febrero,3678147.604928933,Familia EL
2021,febrero,143690.7613498884,Familia MP
2021,febrero,23500.667859706333,Familia P1
2021,febrero,19328.1922424113,Familia P2
2021,febrero,17056.96999109272,Familia P3
2021,febrero,76860.69031818517,Familia P4
2021,febrero,47743.73159847837,Familia P5
2021,febrero,45972.39921842502,Familia P6
2021,febrero,8043.939081536515,Familia P7
2021,febrero,382.3716065091438,Familia P8
2021,febrero,6790.986721709197,Familia P9
2021,febrero,3553.518219831009,Familia SE
2021,marzo,3693781.9046939686,Familia EL
2021,marzo,158140.01912861713,Familia MP
2021,marzo,11023.093635677971,Familia P1
2021,marzo,18037.94052583626,Familia P2
2021,marzo,20979.49263610425,Familia P3
2021,marzo,83263.8819215334,Familia P4
2021,marzo,59408.42440471,Familia P5
2021,marzo,44681.57216240753,Familia P6
2021,marzo,7799.529805385245,Familia P7
2021,marzo,684.6192628305034,Familia P8
2021,marzo,6906.049739921776,Familia P9
2021,marzo,28.8,Familia PP
2021,marzo,8539.716877701892,Familia SE
2021,abril,4108905.8847281737,Familia EL
2021,abril,208052.6383671497,Familia MP
2021,abril,11198.386246090764,Familia P1
2021,abril,20697.41334890116,Familia P2
2021,abril,19870.245830456697,Familia P3
2021,abril,97052.06600008284,Familia P4
2021,abril,77035.06059585506,Familia P5
2021,abril,33353.4409337931,Familia P6
2021,abril,2615.306934633485,Familia P7
2021,abril,244.68830742011932,Familia P8
2021,abril,14595.640427462991,Familia P9
2021,abril,620.6131366568817,Familia PP
2021,abril,983.0876386984614,Familia SE
2021,mayo,4221153.840925238,Familia EL
2021,mayo,222051.27588787297,Familia MP
2021,mayo,33836.77343591562,Familia P1
2021,mayo,37030.52556649575,Familia P2
2021,mayo,32048.437624431714,Familia P3
2021,mayo,112310.69745143129,Familia P4
2021,mayo,75249.79447524392,Familia P5
2021,mayo,73370.20985451668,Familia P6
2021,mayo,4187.878334853449,Familia P7
2021,mayo,225.9029055133295,Familia P8
2021,mayo,11073.912300584616,Familia P9
2021,mayo,2406.632373944408,Familia PP
2021,mayo,21643.23137811253,Familia SE
2021,junio,1034688.8045323052,Familia EL
2021,junio,59459.423543956116,Familia MP
2021,junio,633.3403898401901,Familia P1
2021,junio,4053.6899240180096,Familia P2
2021,junio,643.1276485322663,Familia P3
2021,junio,34810.29245460409,Familia P4
2021,junio,21999.361939986415,Familia P5
2021,junio,12635.120110429012,Familia P6
2021,junio,209.21424093323475,Familia P7
2021,junio,2.6271508890966153,Familia P8
2021,junio,140.95643158236203,Familia P9
2021,junio,6878.325429831907,Familia SE
